order_id,customer_id,order_date,region,product_sku,category,product_name,quantity,unit_price,channel,status,discount_code
ORD-000001,CUST-0171,2023-10-25,Asia Pacific,PB200,pens,Gel Pen 12-pack,15,2.7,online,completed,SPRING10
ORD-000002,CUST-0049,2023-12-02,North America,SH900,shirts,Cotton T-Shirt,5,17.88,online,completed,BULK
ORD-000004,CUST-0065,2023-12-26,Latin America,SH900,shirts,Cotton T-Shirt,37,17.06,online,completed,BULK
ORD-000008,CUST-0175,2023-08-21,North America,BK300,books,Paperback Book,8,7.79,partner,completed,
ORD-000009,CUST-0001,2023-08-29,Asia Pacific,PT044,posters,World Map Poster,11,9.14,online,completed,
ORD-000012,CUST-0113,2023-12-27,North America,PB200,pens,Gel Pen 12-pack,23,2.82,online,completed,BULK
ORD-000015,CUST-0118,2023-08-07,Asia Pacific,PT010,posters,Motivational Poster,20,6.94,online,completed,SPRING10
ORD-000017,CUST-0127,2023-08-13,Asia Pacific,SH901,shirts,Polo Shirt,19,24.47,online,completed,
ORD-000018,CUST-0088,2023-11-16,North America,NB120,notebooks,Hardcover Journal,7,9.55,online,completed,VIP
ORD-000021,CUST-0190,2023-07-08,Latin America,NB120,notebooks,Hardcover Journal,29,9.85,online,completed,
ORD-000022,CUST-0199,2023-10-15,Europe,BK301,books,Cookbook,39,16.22,online,completed,
ORD-000023,CUST-0118,2023-08-08,Asia Pacific,PB24,pens,Ballpoint Pen,30,1.12,online,completed,
ORD-000025,CUST-0052,2023-08-11,Latin America,PT010,posters,Motivational Poster,13,6.33,online,completed,
ORD-000026,CUST-0163,2023-12-24,North America,SH900,shirts,Cotton T-Shirt,35,18.16,online,completed,
ORD-000028,CUST-0181,2023-11-19,Europe,PT010,posters,Motivational Poster,19,6.26,online,completed,
ORD-000029,CUST-0054,2023-10-12,North America,BK301,books,Cookbook,31,18.79,online,completed,
ORD-000032,CUST-0038,2023-10-09,Asia Pacific,SH900,shirts,Cotton T-Shirt,4,14.59,partner,completed,SPRING10
ORD-000036,CUST-0021,2023-08-10,North America,SH900,shirts,Cotton T-Shirt,37,15.18,store,completed,
ORD-000038,CUST-0131,2023-08-29,Asia Pacific,BK300,books,Paperback Book,37,9.6,online,completed,VIP
ORD-000039,CUST-0064,2023-12-08,North America,MG010,mugs,Ceramic Mug,14,6.4,online,completed,VIP
ORD-000040,CUST-0192,2023-10-30,North America,PB200,pens,Gel Pen 12-pack,13,3.04,online,completed,VIP
ORD-000041,CUST-0156,2023-12-13,Europe,PT010,posters,Motivational Poster,13,7.32,online,completed,VIP
ORD-000045,CUST-0028,2023-12-02,Europe,SH901,shirts,Polo Shirt,29,24.71,online,completed,VIP
ORD-000046,CUST-0008,2023-09-17,Asia Pacific,MG010,mugs,Ceramic Mug,17,5.95,store,completed,
ORD-000048,CUST-0192,2023-07-25,North America,SH901,shirts,Polo Shirt,8,20.52,online,cancelled,SPRING10
ORD-000049,CUST-0148,2023-08-09,North America,BK301,books,Cookbook,22,17.08,online,completed,
ORD-000055,CUST-0115,2023-10-26,North America,BK301,books,Cookbook,24,20.17,store,pending,VIP
ORD-000056,CUST-0014,2023-11-12,Asia Pacific,PT044,posters,World Map Poster,3,8.24,store,pending,BULK
ORD-000057,CUST-0197,2023-10-01,Asia Pacific,MG010,mugs,Ceramic Mug,24,5.57,store,completed,
ORD-000059,CUST-0053,2023-11-04,Europe,PT044,posters,World Map Poster,5,10.35,online,completed,
ORD-000062,CUST-0063,2023-12-11,North America,NB050,notebooks,Spiral Notebook,14,4.82,online,completed,BULK
ORD-000063,CUST-0010,2023-11-13,Europe,PT044,posters,World Map Poster,23,8.75,online,completed,SPRING10
ORD-000066,CUST-0023,2023-10-01,Asia Pacific,NB050,notebooks,Spiral Notebook,4,4.4,online,completed,VIP
ORD-000067,CUST-0128,2023-07-16,Europe,NB120,notebooks,Hardcover Journal,32,10.51,online,completed,
ORD-000069,CUST-0156,2023-07-11,Europe,PB200,pens,Gel Pen 12-pack,35,3.14,partner,completed,
ORD-000070,CUST-0013,2023-11-13,North America,NB050,notebooks,Spiral Notebook,30,4.68,online,completed,
ORD-000072,CUST-0140,2023-09-30,Latin America,PB24,pens,Ballpoint Pen,35,1.16,store,completed,
ORD-000073,CUST-0090,2023-09-26,North America,PT010,posters,Motivational Poster,20,7.36,store,completed,
ORD-000074,CUST-0042,2023-11-20,Asia Pacific,NB050,notebooks,Spiral Notebook,6,4.8,store,completed,BULK
ORD-000077,CUST-0099,2023-07-19,Asia Pacific,SH900,shirts,Cotton T-Shirt,37,16.17,online,completed,
ORD-000078,CUST-0079,2023-07-13,Latin America,NB050,notebooks,Spiral Notebook,15,4.79,store,completed,
ORD-000080,CUST-0084,2023-10-12,North America,PB24,pens,Ballpoint Pen,21,1.23,store,completed,
ORD-000081,CUST-0031,2023-10-19,North America,SH901,shirts,Polo Shirt,19,20.44,partner,completed,
ORD-000083,CUST-0058,2023-10-18,North America,NB050,notebooks,Spiral Notebook,33,4.52,partner,completed,SPRING10
ORD-000088,CUST-0001,2023-12-16,Asia Pacific,PB200,pens,Gel Pen 12-pack,10,2.71,online,cancelled,
ORD-000090,CUST-0102,2023-09-17,North America,PT010,posters,Motivational Poster,16,7.01,store,pending,
ORD-000092,CUST-0098,2023-08-20,Asia Pacific,NB120,notebooks,Hardcover Journal,8,9.53,online,pending,
ORD-000094,CUST-0067,2023-09-29,North America,SH901,shirts,Polo Shirt,11,23.94,store,cancelled,
ORD-000095,CUST-0083,2023-12-05,North America,PT044,posters,World Map Poster,12,10.0,store,completed,SPRING10
ORD-000096,CUST-0087,2023-07-14,North America,NB050,notebooks,Spiral Notebook,25,4.28,online,completed,VIP
ORD-000102,CUST-0053,2023-08-22,Europe,PB24,pens,Ballpoint Pen,21,1.23,store,completed,
ORD-000106,CUST-0049,2023-11-21,North America,PB24,pens,Ballpoint Pen,15,1.06,store,completed,
ORD-000107,CUST-0183,2023-11-02,Asia Pacific,PT044,posters,World Map Poster,12,9.39,partner,completed,BULK
ORD-000108,CUST-0096,2023-10-24,Latin America,SH901,shirts,Polo Shirt,23,22.47,online,completed,
ORD-000111,CUST-0067,2023-12-21,North America,NB050,notebooks,Spiral Notebook,12,4.41,online,completed,
ORD-000112,CUST-0046,2023-07-31,Latin America,MG010,mugs,Ceramic Mug,21,6.82,online,completed,SPRING10
ORD-000116,CUST-0187,2023-12-21,Asia Pacific,BK301,books,Cookbook,31,19.09,online,completed,
ORD-000118,CUST-0010,2023-11-26,Europe,SH900,shirts,Cotton T-Shirt,3,17.8,partner,completed,
ORD-000119,CUST-0099,2023-09-05,Asia Pacific,PB24,pens,Ballpoint Pen,28,1.28,online,completed,BULK
ORD-000120,CUST-0093,2023-12-03,Latin America,ST500,stickers,Sticker Sheet,17,1.42,online,completed,SPRING10
ORD-000121,CUST-0173,2023-10-29,North America,PT044,posters,World Map Poster,39,10.03,online,completed,
ORD-000123,CUST-0039,2023-10-30,North America,NB050,notebooks,Spiral Notebook,22,4.52,store,pending,
ORD-000134,CUST-0038,2023-12-28,Asia Pacific,NB050,notebooks,Spiral Notebook,30,4.36,online,completed,BULK
ORD-000139,CUST-0142,2023-07-12,Middle East & Africa,SH900,shirts,Cotton T-Shirt,33,16.62,store,completed,
ORD-000140,CUST-0125,2023-10-29,Asia Pacific,PT044,posters,World Map Poster,34,10.0,online,completed,BULK
ORD-000141,CUST-0096,2023-09-26,Latin America,NB120,notebooks,Hardcover Journal,24,9.7,online,pending,VIP
ORD-000142,CUST-0049,2023-07-31,North America,ST500,stickers,Sticker Sheet,25,1.32,online,pending,
ORD-000144,CUST-0114,2023-10-10,North America,PT010,posters,Motivational Poster,24,6.36,online,completed,
ORD-000146,CUST-0119,2023-08-19,North America,PT010,posters,Motivational Poster,30,7.61,online,completed,SPRING10
ORD-000148,CUST-0170,2023-11-18,Latin America,SH901,shirts,Polo Shirt,33,25.66,store,completed,VIP
ORD-000150,CUST-0001,2023-08-22,Asia Pacific,PB24,pens,Ballpoint Pen,34,1.27,online,completed,
ORD-000152,CUST-0171,2023-07-10,Asia Pacific,NB120,notebooks,Hardcover Journal,2,9.54,store,pending,
ORD-000153,CUST-0107,2023-12-09,North America,NB050,notebooks,Spiral Notebook,4,4.56,store,completed,SPRING10
ORD-000154,CUST-0124,2023-09-18,Europe,NB050,notebooks,Spiral Notebook,22,3.88,store,completed,BULK
ORD-000157,CUST-0180,2023-09-15,Asia Pacific,BK301,books,Cookbook,7,20.67,online,completed,
ORD-000164,CUST-0184,2023-10-18,Europe,PT010,posters,Motivational Poster,8,7.66,partner,completed,SPRING10
ORD-000165,CUST-0112,2023-10-13,Europe,PT044,posters,World Map Poster,35,9.84,store,pending,
ORD-000169,CUST-0182,2023-10-03,Latin America,PT010,posters,Motivational Poster,13,6.21,store,completed,VIP
ORD-000171,CUST-0016,2023-10-19,Asia Pacific,BK301,books,Cookbook,27,17.5,online,pending,VIP
ORD-000172,CUST-0073,2023-11-04,North America,ST500,stickers,Sticker Sheet,4,1.32,partner,completed,
ORD-000173,CUST-0147,2023-09-09,Latin America,BK300,books,Paperback Book,-1,8.8,online,returned,BULK
