order_id,customer_id,order_ts,product_sku,quantity,unit_price,channel,payment_method,status,discount_code
ORD-000001,CUST-0092,2024-07-24 11:01:00,BK302,10,32.58,web,card,completed,VIP
ORD-000002,CUST-0016,2024-05-09 14:53:00,ST500,22,1.43,web,applepay,completed,
ORD-000003,CUST-0289,2024-05-12 20:54:00,PB024,9,1.14,web,paypal,completed,
ORD-000004,CUST-0315,2024-07-07 10:26:00,MG010,21,7.12,app,card,completed,
ORD-000005,CUST-0356,2024-10-15 08:16:00,PT044,23,8.17,store,paypal,completed,
ORD-000006,CUST-0438,2024-12-28 19:45:00,BK300,17,8.32,store,paypal,completed,BULK15
ORD-000007,CUST-0229,2024-09-28 02:54:00,SH902,15,33.26,app,paypal,completed,SPRING10
ORD-000008,CUST-0382,2024-12-29 20:12:00,EL503,15,125.57,web,card,completed,
ORD-000009,CUST-0330,2024-05-31 14:42:00,ST500,2,1.39,web,card,completed,SPRING10
ORD-000010,CUST-0128,2024-11-13 22:35:00,EL501,20,19.14,store,giftcard,completed,
ORD-000011,CUST-0389,2024-06-30 21:51:00,NB120,5,11.5,app,paypal,completed,WELCOME
ORD-000012,CUST-0025,2024-08-14 06:17:00,PB200,24,2.73,store,card,completed,
ORD-000013,CUST-0276,2024-12-22 02:13:00,EL503,3,111.44,web,giftcard,completed,BULK15
ORD-000014,CUST-0433,2024-08-25 08:28:00,ST500,-1,1.39,web,card,returned,
ORD-000015,CUST-0304,2024-09-25 19:47:00,PT044,14,9.82,store,card,pending,SPRING10
ORD-000016,CUST-0432,2024-10-14 04:40:00,PB200,12,2.58,web,paypal,completed,
ORD-000017,CUST-0026,2024-02-18 22:31:00,BK302,6,36.48,web,paypal,completed,
ORD-000018,CUST-0245,2024-03-12 11:05:00,BK300,22,8.72,app,giftcard,completed,
ORD-000019,CUST-0360,2024-10-13 11:41:00,EL503,11,121.23,app,paypal,cancelled,WELCOME
ORD-000020,CUST-0296,2024-05-15 05:14:00,BK300,-1,9.42,partner,card,returned,
